Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source,blob_polarity,blob_subjectivity,blob_sentiment,ds,vader_scores,vader_polarity,vader_sentiment
2022-12-16 20:53:09+00:00,dont need big soccer fan recognize called beautiful game,1603855776053100545,396,2537,Twitter Web App,0.15,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351}",0.7351,positive
2022-12-16 20:51:53+00:00,rt major milestone fight malaria millions people access powerful new tool,1603855454995898368,198,0,Twitter Web App,0.1662878787878788,0.6515151515151515,positive,BillGates,"{'neg': 0.196, 'neu': 0.613, 'pos': 0.191, 'compound': -0.0202}",-0.0202,negative
2022-12-16 20:32:41+00:00,rt major advance fusion research announced tuesday decades coming scientists first time able engine,1603850624340488192,206,0,Twitter Web App,0.2708333333333333,0.4861111111111111,positive,BillGates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2022-11-19 19:24:57+00:00,order solve worlds sanitation crisis need smarter toilets dont rely sewage systems prevent spread diseases worldtoiletday,1594049106615291907,898,5344,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.186, 'neu': 0.545, 'pos': 0.268, 'compound': -0.0516}",-0.0516,negative
2022-11-18 20:52:59+00:00,collaboration open access data made seemingly impossible health breakthroughs reality like covid19 vaccines putting power data behind one critical health challenges,1593708872291663872,375,1684,Twitter Web App,-0.26666666666666666,0.75,negative,BillGates,"{'neg': 0.095, 'neu': 0.747, 'pos': 0.158, 'compound': 0.128}",0.128,positive
2022-11-18 18:51:11+00:00,decreasing maternal mortality lowering rates vaccinepreventable diseases true hero community,1593678220645511168,293,1782,Twitter Web App,0.35,0.65,positive,BillGates,"{'neg': 0.13, 'neu': 0.455, 'pos': 0.416, 'compound': 0.6597}",0.6597,positive
2022-11-17 20:27:13+00:00,africa always heart foundations mission today announcing commitment 7 billion next 4 years development breakthrough innovations health agriculture across continent,1593340000149549056,505,2630,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.7783}",0.7783,positive
2022-11-17 20:05:19+00:00,great things health within kenya across africa thanks leadership pleasure meet,1593334489656139779,39,270,Twitter Web App,0.5,0.475,positive,BillGates,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.8934}",0.8934,positive
2022-11-17 19:07:18+00:00,many people dont know mike champion leader pepfar presidents emergency plan aids relief saved millions lives one best things country ever done lasting part legacy,1593319886763139072,148,1216,Twitter Web App,0.5,0.26666666666666666,positive,BillGates,"{'neg': 0.16, 'neu': 0.558, 'pos': 0.282, 'compound': 0.6546}",0.6546,positive
2022-11-17 19:07:17+00:00,im sad hear michael gersons passing spoke many times years especially global health started talking pandemic prevention back 2015 one first journalists wanted talk,1593319884439490561,274,1906,Twitter Web App,0.05,0.36666666666666664,positive,BillGates,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
