Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source
2023-02-26 07:29:23+00:00,hangover funny tho,1629745425631649793,373,9320,Twitter for iPhone
2023-02-26 06:46:04+00:00,good one,1629734523255545856,478,12776,Twitter for iPhone
2023-02-26 05:11:17+00:00,rewatching step brothers good,1629710671209193472,8199,162793,Twitter for iPhone
2023-02-26 04:55:47+00:00,,1629706771878096896,264,3980,Twitter for iPhone
2023-02-26 04:49:49+00:00,,1629705269033816064,17928,256530,Twitter for iPhone
2023-02-26 04:46:06+00:00,accurate,1629704334756724736,99,1694,Twitter for iPhone
2023-02-26 04:45:53+00:00,product innovation companies tbh,1629704278360178691,91,1296,Twitter for iPhone
2023-02-26 04:43:47+00:00,thread best doritos ad ever,1629703751752724481,228,5488,Twitter for iPhone
2023-02-26 04:20:38+00:00,,1629697927512768514,59127,663872,Twitter for iPhone
2023-02-26 03:44:42+00:00,,1629688882739527681,118,2236,Twitter for iPhone
2023-02-26 03:39:49+00:00,cant witchcraft defeat inflation,1629687653229555716,20529,180207,Twitter for iPhone
2023-02-26 03:39:15+00:00,follow many people like tweets confuses heck algorithm btw,1629687510040281088,380,9858,Twitter for iPhone
2023-02-26 03:09:03+00:00,,1629679910456262657,174,4028,Twitter for iPhone
2023-02-26 03:06:18+00:00,,1629679220874985472,113,1862,Twitter for iPhone
2023-02-26 02:44:29+00:00,munger couldve invested tesla 200m valuation lunch late 2008,1629673727360221184,512,7493,Twitter for iPhone
2023-02-26 02:41:50+00:00,starts,1629673063175290880,1551,52948,Twitter for iPhone
2023-02-26 02:39:07+00:00,get elected,1629672379097006080,162,2392,Twitter for iPhone
2023-02-26 02:16:14+00:00,,1629666617473810432,109,2030,Twitter for iPhone
2023-02-26 00:07:11+00:00,,1629634142622334978,3369,33549,Twitter for iPhone
2023-02-26 00:06:14+00:00,disturbingly accurate,1629633902066425856,1473,23943,Twitter for iPhone
2023-02-26 00:04:58+00:00,,1629633583626477568,114,1527,Twitter for iPhone
2023-02-26 00:04:10+00:00,,1629633384338149378,11401,140444,Twitter for iPhone
2023-02-26 00:02:28+00:00,tumblr especially,1629632954900140034,80,1638,Twitter for iPhone
2023-02-25 22:57:32+00:00,lol true,1629616613602254848,59,954,Twitter for iPhone
2023-02-25 22:56:53+00:00,,1629616451421192193,204,3779,Twitter for iPhone
2023-02-25 22:34:19+00:00,,1629610774053134339,100,3136,Twitter for iPhone
2023-02-25 22:33:24+00:00,yikes,1629610541051199495,129,2466,Twitter for iPhone
2023-02-25 22:31:30+00:00,,1629610061847748609,745,9412,Twitter for iPhone
2023-02-25 22:28:44+00:00,doesnt seem real even youre standing right next,1629609366801244162,515,13535,Twitter for iPhone
2023-02-25 22:09:30+00:00,,1629604528780713985,93,1575,Twitter for iPhone
2023-02-25 22:08:33+00:00,add modify,1629604288384192514,169,1829,Twitter for iPhone
2023-02-25 21:49:11+00:00,deepfakes getting good cant tell real,1629599416251187202,147,4500,Twitter for iPhone
2023-02-25 21:48:13+00:00,couldnt reach toilet paper,1629599169512890368,69,1339,Twitter for iPhone
2023-02-25 21:45:13+00:00,,1629598417159692288,71099,798837,Twitter for iPhone
2023-02-25 21:44:10+00:00,,1629598153010827264,109,2303,Twitter for iPhone
2023-02-25 21:02:29+00:00,meme loop,1629587662175629313,1562,28171,Twitter for iPhone
2023-02-25 19:43:47+00:00,,1629567857041260545,35438,481837,Twitter for iPhone
